EXPOCODE,CRUISE_ID,JD_UTC,DATE_UTC (yyyymmdd),TIME_UTC (hh:mm:ss),LATITUDE,LONGITUDE,SST,SSS,TA
,,,yyyymmdd,hh:mm:ss,decimal degrees,decimal degrees,degrees Celcius,psu,micromoles per kilogram
33HH20230719,HB202303,201,20230720,13:03:53,41.38934167,-71.33790333,22.61,30.8121,2023
33HH20230719,HB202303,201,20230720,13:23:52,41.41009667,-71.33018667,22.52,30.9021,2054
33HH20230719,HB202303,201,20230720,13:43:52,41.41227667,-71.33479833,22.52,30.8939,2071
33HH20230719,HB202303,201,20230720,14:03:53,41.413235,-71.33988,22.45,30.8821,2078
33HH20230719,HB202303,201,20230720,14:23:52,41.45838833,-71.37266667,22.22,31.3034,2093
33HH20230719,HB202303,201,20230720,14:43:52,41.5057,-71.34788167,25.35,29.3431,1942
33HH20230719,HB202303,201,20230720,15:03:52,41.52172167,-71.34575333,25.17,28.2376,1905
33HH20230719,HB202303,201,20230720,15:23:52,41.52056333,-71.34587167,25.26,27.8128,1866
33HH20230719,HB202303,201,20230720,15:43:51,41.52054167,-71.34585167,25.17,27.1342,1856
33HH20230719,HB202303,201,20230720,16:03:52,41.52052,-71.34580833,25.88,27.1758,1809
33HH20230719,HB202303,201,20230720,16:23:52,41.52053833,-71.34564167,25.17,28.525,1808
33HH20230719,HB202303,201,20230720,16:43:51,41.52053333,-71.34585,24.37,28.806,1875
33HH20230719,HB202303,201,20230720,17:03:51,41.52054167,-71.345955,24.81,28.0363,1944
33HH20230719,HB202303,201,20230720,17:23:52,41.52051333,-71.34571167,24.91,28.5514,1976
33HH20230719,HB202303,201,20230720,18:03:50,41.520555,-71.345745,26.78,26.7144,1817
33HH20230719,HB202303,201,20230720,18:23:51,41.520635,-71.34546,26.34,26.3138,1749
33HH20230719,HB202303,201,20230720,18:43:51,41.520575,-71.34580833,26.88,26.1015,1754
33HH20230719,HB202303,201,20230720,19:03:50,41.52061667,-71.34571833,26.24,26.0051,1773
33HH20230719,HB202303,201,20230720,19:23:50,41.52075667,-71.34532167,24.73,25.799,1785
33HH20230719,HB202303,201,20230720,19:43:51,41.5207,-71.34519833,25.98,25.9247,1787
33HH20230719,HB202303,201,20230720,20:03:51,41.520965,-71.34503167,26.24,25.7517,1789
33HH20230719,HB202303,201,20230720,20:23:50,41.521845,-71.34540667,26.24,25.9235,1760
33HH20230719,HB202303,201,20230720,20:43:50,41.52189333,-71.34540333,27.24,29.3644,1867
33HH20230719,HB202303,201,20230720,21:03:49,41.52192833,-71.34540167,26.6,28.088,1915
33HH20230719,HB202303,201,20230720,21:23:50,41.52190833,-71.34531667,26.96,28.0495,1896
33HH20230719,HB202303,201,20230720,21:43:49,41.52188667,-71.34537833,25.98,28.8138,1891
33HH20230719,HB202303,201,20230720,22:03:50,41.52189167,-71.34539,26.42,28.1405,1894
33HH20230719,HB202303,201,20230720,22:23:49,41.52190333,-71.345385,25.17,28.4622,1888
33HH20230719,HB202303,201,20230720,22:43:50,41.52187333,-71.34542333,25.09,28.5189,1878
33HH20230719,HB202303,201,20230720,23:03:50,41.52190333,-71.34538667,26.52,29.1024,1896
33HH20230719,HB202303,201,20230720,23:23:50,41.52188167,-71.34535,25.35,28.8633,1943
33HH20230719,HB202303,201,20230720,23:43:49,41.52186333,-71.34537,25.62,28.765,1938
33HH20230719,HB202303,202,20230721,0:03:49,41.52184833,-71.34536333,26.42,29.5644,1943
33HH20230719,HB202303,202,20230721,0:23:49,41.52185333,-71.34554167,26.6,29.1994,1969
33HH20230719,HB202303,202,20230721,0:43:49,41.52187667,-71.34577667,26.42,29.0224,1893
33HH20230719,HB202303,202,20230721,1:03:50,41.521815,-71.34587,26.34,28.8878,1911
33HH20230719,HB202303,202,20230721,1:23:49,41.52179333,-71.34593167,26.24,28.9242,1929
33HH20230719,HB202303,202,20230721,1:43:49,41.52182667,-71.34587667,26.16,30.2245,1945
33HH20230719,HB202303,202,20230721,2:03:50,41.521825,-71.34590333,26.16,29.5764,1984
33HH20230719,HB202303,202,20230721,2:23:50,41.521765,-71.34600333,26.06,29.6909,1971
33HH20230719,HB202303,202,20230721,2:43:49,41.52175833,-71.346,25.98,29.5282,2010
33HH20230719,HB202303,202,20230721,3:03:49,41.521735,-71.34597333,25.44,29.8121,1984
33HH20230719,HB202303,202,20230721,3:23:49,41.52174667,-71.34593833,25.35,30.3851,2023
33HH20230719,HB202303,203,20230722,13:29:09,41.25561333,-71.07409333,22.87,31.6747,2131
33HH20230719,HB202303,203,20230722,13:48:18,41.256275,-71.075985,22.87,31.6748,2165
33HH20230719,HB202303,203,20230722,14:08:16,41.25228167,-71.09297667,22.78,31.6129,2165
33HH20230719,HB202303,203,20230722,14:28:17,41.23285,-71.13542333,23.31,31.9034,2176
33HH20230719,HB202303,203,20230722,14:48:17,41.253835,-71.06364833,23.13,31.8054,2172
33HH20230719,HB202303,203,20230722,15:08:17,41.267375,-71.00085333,22.08,31.4356,2186
33HH20230719,HB202303,203,20230722,15:28:17,41.250085,-71.072355,23.22,31.8598,2164
33HH20230719,HB202303,203,20230722,15:48:16,41.229935,-71.13638833,23.31,31.8018,2171
33HH20230719,HB202303,203,20230722,16:08:17,41.246245,-71.081645,23.4,31.8332,2186
33HH20230719,HB202303,203,20230722,16:28:16,41.23149667,-71.06630667,23.58,31.9031,2185
33HH20230719,HB202303,203,20230722,16:48:17,41.25504333,-71.04887333,23.58,31.8437,2185
33HH20230719,HB202303,203,20230722,17:08:17,41.262685,-71.01463167,22.96,31.4395,2170
33HH20230719,HB202303,203,20230722,17:28:16,41.25722833,-71.03764167,23.22,31.7495,2140
