"","season","episode","title","rating","synopsis","aired_date"
"1",1,1,"The Mighty Megalosaurus","7.5","Earl tells Baby the story of how he came into the world... a story in which he asks for a raise from Mr. Richfield and has to choose between buying Fran a new cookware set or buying himself a 90-inch television set.","Fri, Apr 26, 1991"
"2",1,2,"The Mating Dance","7.4","Fran grows sick of her marital life, but Earl has no idea what the real problem is. So she leaves for a while in order for Earl to better himself, which he does by taking a class on the so-called ""Mating Dance.""","Fri, May 3, 1991"
"3",1,3,"Hurling Day","7.8","It is a dinosaur custom that when they turn 72, they are to be hurled off a cliff into a tar pit. Ethyl's time is coming near, and Earl (as the ceremonial son-in-law) is looking forward to tossing her... until Robbie realizes Ethyl still has a lot to live for.","Fri, May 10, 1991"
"4",1,4,"High Noon","7.4","At the market, a t-rex named Gary hits on Fran, then-- according to dinosaur law-- shows up outside the house one day to challenge Earl to a fight to the death. The prize: Fran.","Fri, May 17, 1991"
"5",1,5,"The Howling","7.5","The Howling is a sacred dinosaur tradition in which, to avert prophesied disaster, male dinosaurs of age climb a cliff and howl at the moon. But when Robbie refuses to participate, it looks like he has, in fact, brought about the apocalypse!","Fri, May 24, 1991"
"6",2,1,"The Golden Child","8.0","A massive sugar high has Baby bouncing off the walls, which is how he gets a mysterious bump that morphs into a majestic golden horn. It turns out that the horn is the sign of the prophesied leader of the dinosaurs, so Baby becomes the king... which is perfectly fine with Earl.","Wed, Sep 18, 1991"
"7",2,2,"Family Challenge","7.9","Fran thinks that the family spends far too much time in front of the TV. So when a freak accident destroys it, she sees it as a blessing-- but Earl is looking for another way out. So he enters the family in a game show in which the prize is a deluxe television set.","Wed, Sep 25, 1991"
"8",2,3,"I Never Ate for My Father","7.6","Earl insists Robbie isn't acting carnivorous enough, so the teen stages a protest by becoming-- gasp!-- a vegetarian.","Wed, Oct 2, 1991"
"9",2,4,"Charlene's Tale","7.6","Charlene notices that the other females are getting their tails before her. So while Fran tries to teach her that a beautiful body doesn't make a beautiful mind, Charlene thinks of quick fixes and the males in the house tease.","Wed, Oct 9, 1991"
"10",2,5,"Endangered Species","8.0","It's Fran and Earl's twentieth anniversary. To make it very special, Earl buys a delicacy for dinner: a species called grapdelites, who, thanks to his fellow snackers, are virtually extinct. While Earl desperately tries to keep everybody's prying paws off of his, Robbie fights to save their species.","Wed, Oct 16, 1991"
"11",2,6,"Employee of the Month","7.5","To drive up employee morale (or possibly to keep from getting sued), Mr. Richfield decides to create an idiot example of perfection and call him the ""Employee of the Month."" And who should make the grade but Earl?","Wed, Oct 23, 1991"
"12",2,7,"When Food Goes Bad","7.9","Fran and Earl go out to dinner, leaving Robbie and Charlene alone to watch Baby. However, that's the perfect opportunity for a group of oppressed food items to revolt by kidnapping the youths!","Wed, Oct 30, 1991"
"13",2,8,"Career Opportunities","7.5","Robbie goes to see the Job Wizard who dictates what careers everybody has for the rest of their lives. He hopes to be picked to be a rock legend but his dream falls flat when it's announced he's going to be a tree pusher like his father.","Wed, Nov 6, 1991"
"14",2,9,"Unmarried... with Children","7.6","After meeting new neighbor Monica, Fran learns that dinosaurs have to renew their marriage licenses after a certain amount of time... and then realizes that her marriage to Earl is technically invalid. Which is fine, until she realizes Earl doesn't know her at all.","Wed, Nov 13, 1991"
"15",2,10,"How to Pick Up Girls","7.5","Robbie realizes he has no idea how to talk to girls. Desperate, he asks for help from Spike, a troublemaker who does very well with the ladies. Unfortunately, Spike's advice causes more harm for Robbie than good.","Wed, Nov 20, 1991"
"16",2,11,"Switched at Birth","8.0","After Fran realizes she switched nests in Lamaze Class with Glenda Molehill, she starts to think that Baby isn't their baby. Her fears don't seem well-founded, though... until she meets the Molehill baby, Aubrey, who looks like Baby with Earl's green skin! After an unbearable baby swap, the two families ask for help from the wise Solomon the Great.","Wed, Nov 27, 1991"
"17",2,12,"Refrigerator Day","7.7","Dinosaurs get ready to celebrate, the tradition of Refrigerator Day.","Wed, Dec 11, 1991"
