RPTID	OPID	NAME	INTER	IDATE	DTHH	ACSTATE	ACCOUNTY	ACCITY	OFFSHORE	COOR	IFED	SPLOC	CSYS	ORGLK	ORGLO	ITMYR	CAUS	CAUSO	TFAT	EFAT	NFAT	TINJ	EINJ	NINJ	PRPTY	COMM	COMID	CLASS	LOSS	RECOV	FIRE	EXP	NMDIA	THK	SMYS	JNT	GRND	DSPRS	ACPRS	PRTST	DUR	MXPRS	TSTMM	TSTYY	CORLC	FACTD	FACAT	CORR	CORRO	CAULK	CAULO	PREVT	ONECL	ONEOT	EXCAL	TMPMK	RNAME	PHONE	TELRN	TELID	DOR	NARRATIVE
19850142	2731	CHEVRON PIPELINE CO	No	19851011	1430	TX	JEFFERSON	TOWN OF WINNIE	No	 	No	"TOWN OF WINNIE, 16 MILES SOUTHWEST OF BEAUMONT, 1-1/2 MILES WEST OF INTERSTATE 10, EAST OF THE LOWER NECHES VALLEY AUTHORITY CANAL, IN JEFFERSON COUNTY."	LINE PIPE	PIPE	 	1958	OUTSIDE FORCE DAMAGE	DAMAGE BY OTHERS	0	0	0	0	0	0	26000	GASOLINE	2911135	3	200	187	No	No	8	0.25	35000	WELDED	BELOW GROUND	1472	50	Yes	5	1840	0	71	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OTHERS	 	Yes	OTHER	MAILINGS TO EXCAVATORS	No	No	"JC PALMIERI, DIV. MGR."	4098922373	 	        		"ON OCTOBER 11, 1985 AN 8"" NATURAL GASOLINE PIPELINE WAS STRUCK BY A BULLDOZER OPERATED BY AN EMPLOYEE OF THE LOWER NECHES VALLEY AUTHORITY. THIS RESULTED IN A SIX-INCH (6"") BREAK IN THE PIPELINE.  THERE WAS NO FIRE, EXPLOSION, OR INJURY ASSOCIATED WITH THIS INCIDENT.  APPROXIMATELY 200 BBLS OF NATURAL GASOLINE WERE SPILLED, 187 BBLS RECOVERED, WITH A NET LOSS OF 13 BBLS.THE INCIDENT OCCURRED AT A CANAL CROSSING WHERE THE PIPELINE RISES OUT OF THE GROUND TO MAKE AN OVERHEAD CROSSING OF THE CANAL.  THE PIPELINE WAS STRUCK APPROXIMATELY 4"" BELOW GROUND LEVEL RESULTING IN A SIX-INCH (6"") HOLE IN THE PIPELINE.  THE PIPELINE WAS WELL MARKED, WITH A PIPELINE WARNING SIGNLOCATED APPROXIMATELY TWO FEET (2') FROM THE BREAK LOCATION (SEE ATTACHED DRAWING OF SIGN).THE BULLDOZER OPERATOR MOVED HIS MACHINE BACK SOME TWENTY FEET (20'), TURNED OFF THE ENGINE, AND RAN FOR SAFETY.  HE THEN NOTIFIED HIS SUPERVISOR, WHO CONTACTED THE CHEVRON HOUSTON CONTROLLER CENTER.  THIS CENTER NOTIFIED THE CHEVRON PIPE LINE COMPANY BEAUMONT DIVISION OFFICE.  EMERGENCY RESPONSE AND CLEAN-UP OPERATIONS WERE IMMEDIATELY INITIATED.A SMALL QUANTITY OF LIQUID GASOLINE SEEPED INTO THE CANAL AT THE CANAL CROSSING.  THE GASOLINE WAS CONTAINED WITH A CONTAINMENT BOOM AND RECOVERED WITH ABSORBENT PADS.  ALL GASOLINE ON THE WATER WAS RECOVERED."
19850143	2190	CENTRAL FLORIDA PIPELINE CORP	No	19851204	1830	FL	POLK	LAKE ALFRED	No	 	No	LEAK OCCURED WITHIN THE CITY LIMITS OF LAKE ALFRED FLORIDA BETWEEN HIGHWAY 17-92 AND THE SEABOARD COASTLINE RAILROAD APPROXIMATELY 200 YARDS WEST OF EXPERIMENTA	LINE PIPE	PIPE	 	1973	FAILED PIPE	PIPE FAILURE DUE TO DAMAG	0	0	0	0	0	0	20000	GASOLINE	2911135	3	894	379	No	No	11	0.22	6000	WELDED	BELOW GROUND	900	400	Yes	24	1843	7	73	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"RALPH BAKER, MANAGER PIPELINES"	8132472772	 	        		"VALVE MALFUNCTION AT THE TAFT TERMINAL IN ORLANDO FLORIDA CREATED A HIGH PRESSURE CONDITION TO EXIST ON OUR 10"" PIPELINE.  TAMPA PUMP STATION SHUT DOWN IMMEDIATELY WHEN HIGH PRESSURE WAS EVIDENT.  TAFT TERMINAL CORRECTED VALVE PROBLEM AND WE BEGAN PRESSURE LINE BUT NOTED PROBLEM WHEN LINE DID NOT PRESSURE UP IN NORMAL MANNER.  BEGAN TO PRESSURE LINE SEGMENTS TO LOCATE SUSPECTED LEAK SITE AND TWO EMPLOYEES RIDING RIGHT-OF-WAY TO LOCATE OBVIOUS LEAK.  LEAK LOCATED IN LAKE ALFRED @ 1830 DEC. 4, 1985.  DUE TO THE SWAMPY CONDITIONS AT THELEAK SITE, FILL DIRTWAS HAULED IN TO ACCESS THE LEAK SITE AND THE LINE WAS EXPOSED ON SAT. DEC 7, 1985.  PIPE COATING HAD BEEN SCRAPED FROM THE TOP OF THE LINEAND CREASES WERE EVIDENT IN THE PIPE FROM SOME PREVIOUS CONSTRUCTION AROUND OURPIPELINE.RECOVERY OF LOST PRODUCT WAS INITIATED AT TIME OF LEAK LOCATION AND BY EARLY MORNING OF DEC. 5, 1985, THREE RECOVERY TEAMS WERE CLEANING UPLEAK SITE.  E.P.A. AND D.E.R. REPRESENTATIVES WERE PRESENT DURING OUR REPAIR AND CLEAN-UP OPERATIONS.  WE ARE PRESENTLY MONITORING SKIRT AND ABSORBENT BOOMS NOW IN PLACE TO PROTECT ANY FURTHER CONTAMINATION FROM SMALL AMOUNTS OF HYDROCARBONS LEACHING FROM SURROUNDING VEGITATION."
19850144	12628	MOBIL PIPELINE CO	No	19851115	1800	CA	LOS ANGELES	 	No	 	No	"8044 WOODLEY AVENUE, VAN NUYS, CA"	PUMPING STATION	NO DATA	"1"" NIPPLE TO PRESSURE GAG"	1984	OTHER	FAILURE OF NIPPLE AT THRE	0	0	0	0	0	0	300	CRUDE OIL	1311110	1	60	59	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"J.B. GOZA, MANAGER"	2133282550	 	        		"FAILURE OF 1"" NIPPLE CONNECTING A PRESSURE GAGE AT ONE OF THE THREADED ENDS.  SPILLED CRUDE OIL WAS CONTAINED IN THE CONCRETE ENCLOSURE OF THE SUMP PUMP WITH A LITTLE OVERFLOW IN THE PUMP STATION AREA.  RECOVERY AND CLEANUP WAS IMMEDIATELY DONE UPON DISCOVERY OF THE SPILL.  PIPE NIPPLE CONNECTION WAS PLUGGED TO PREVENT SIMILAR OCCURANCE."
19850145	12628	MOBIL PIPELINE CO	No	19851123	1430	TX	WEBB	 	No	 	No	"APPROXIMATELY 3-1/2 MILES NORTH OF THE TOWN OF OILTON AT THE AB&M SURVEY, SECTION 689, ABSTRACT 800 IN WEBB COUNTY, TEXAS."	NO DATA	PIPE	 	1926	OUTSIDE FORCE DAMAGE	DAMAGE BY OTHERS	0	0	0	0	0	0	15000	CRUDE OIL	1311110	1	360	0	No	No	8	0.32	24000	WELDED	BELOW GROUND	555	5	Yes	2	708	10	68	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OTHERS	 	Yes	OTHER	"AERIAL SURVEILLANCE, PIPE"	No	No	"D.L. DENNARD, VICE PRESIDENT OPERATIONS"	2146582226	 	        		"AERIAL PATROL REPORTED A SMALL TRENCH ACROSS MOBIL PIPE LINE COMPANY'S 8 INCH CRUDE OIL PIPELINE 1-1/2 MILES NORTH OF THE ACCIDENT SITE ON NOVEMBER 20, 1985.  ON-SITE INSPECTION ON NOVEMBER 21, 1985 GAVE NO INDICATION OF ADDITIONAL WORK OR EXCAVATION.  LANDOWNER HAD MOVED HIS EQUIPMENT AND WHILE EXCAVATING WITH THE RIPPER OF A BULLDOZER TO BURY A WATER LINE, HIT AND RUPTURED THE PIPELINE SOMETIME ON NOVEMBER 22, 1985.  THE PIPELINE WAS SHUT DOWN ON THIS DATE, AND SINCE THE DAMAGE WAS NEAR THE HIGH ELEVATION POINT, PIPELINE PRESSURE WAS MINIMAL.  THE DAMAGE TO THE PIPELINE WAS DISCOVERED ON NOVEMBER 23, 1985 WHENPUMPING WAS RESUMED.  THE LANDOWNER DID NOT NOTIFY THE COMPANY PRIOR TO THIS EXCAVATION ACTIVITY NOR DID HE REPORT THE DAMAGE THAT WAS MADE ON THE PIPELINE.  THE PIPELINE WAS REPAIRED BY REPLACING THE DAMAGED SECTION."
19850146	15674	PLANTATION PIPE LINE CO	Yes	19850909	615	GA	DOUGLAS	 	No	 	No	OCCURRED ON PLANTATION PIPE LINE COMPANY'S PROPERTY (AUSTELL STATION & TANK FARM) LOCATED ON COUNTY LINE ROAD APPROXIMATELY 1/2 MILE SOUTH OF INTERSTATE 20.	TANK FARM	NO DATA	 	0	MALFUNCTION OF CONTROL OR RELIEF EQUIPMENT	 	0	0	0	0	0	0	29000	TURBINE FUEL	2911225	1	931	900	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"H.B. MCCAULEY, JR., VICE PRESIDENT-OPERATIONS"	4042612137	 	        		"ON THE MORNING OF SEPTEMBER 9, 1985, PLANTATION PIPE LINE COMPANY WAS MAKING A DELIVERY OF AVIATION TURBINE FUEL AT THE COMPANY'S AUSTELL TANK FARM NEAR DOUGLASVILLE, GEORGIA.  AT APPROXIMATELY 6:30 A.M. A RESIDENT NEARTHE TANK FARM SMELLED FUMES AND NOTIFIED LOCAL AUTHORITIES, WHO TURN NOTIFIED PLANTATION. THE PIPELINE DELIVERING PRODUCT TO THIS FACILITY WAS SHUT DOWN AT 6:48 A.M. APPROXIMATELY 931 BARRELS OF AVIATION TURBINE FUEL WAS RELEASED THROUGH THE OVERFLOW VENT OF THE INCOMING LINE RELIEF TANK. THIS LOCATION HAS A POLLUTIONCONTROL FACILITY (PRODUCT CATCHMENT BASIN) WHICH CONTAINED THE SPILL.  SHORTLY AFTER 6:00 A.M. ON THE MORNING OF THE SPILL, A FAULTY FLOW SWITCH ON THE STATIONPIPING RELIEF LINE APPARENTLY TRIPPED THE DELIVERY LOCK-OUT RELAY, WHICH IN TURN SET UP THE AUTOMATIC CLOSE-OFF PROCEDURE FOR THE TERMINAL. THE PRESSURE CONTROL VALVE AND THE MANIFOLD VALVE TO THE TANK RECEIVING THE DELIVERY WERE SIGNALED TO CLOSE. THE TANK MANIFOLD VALVE CLOSED, BUT DUE TO BLOCKAGE IN THE HYDRAULIC SYSTEM OF THE PRESSURE CONTROL VALVE, THE CONTROL VALVE FAILED TO CLOSE.  WITH THE TANK MANIFOLD VALVE CLOSED AND THE CONTROL VALVE STILL OPEN, THE INCOMING STREAM WAS DIVERTED FROM TANK FARM TANKAGE TO THE RELIEF TANK, WHICH AFTER A FEW MINUTES STARTED TO OVERFLOW.  THIS OVERFLOW CONTINUED UNTIL THE INCOMING LINE WAS SHUT DOWN AT 0648.THE AUSTELL TANK FARM IS NORMALLY MANNED 16 HOURS EACH DAY,"
19850147	12434	MID - CONTINENT PIPELINE CO	No	19851108	1500	OK	SEMINOLE	 	No	 	No	"1 1/2 MILES SOUTH OF CROMWELL, OKLAHOMA, ON HIGHWAY #56, 1/2 MILE EAST ON SOUTH SIDE INTO TANK FARM."	TANK FARM	TANK	 	1947	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	0				580	576	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	EXTERNAL	No	No	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"C. A. WILLIAMSON, GENERAL FOREMAN"	4053820626	 	        		
19850148	443	AMOCO PIPELINE CO	Yes	19851113	900	MN	DOUGLAS	 	No	 	No	"SECTION 6, TOWNSHIP 129N, RANGE 40W"	LINE PIPE	PIPE	 	1947	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	0	GASOLINE	2911135	1	1	1	No	No	8	0.25	35000	WELDED	BELOW GROUND	1440	700	No	0	0	0	0	EXTERNAL	Yes	Yes	OTHER	BACTERIAL	NO DATA	 	Null	NO DATA	 	Null	Null	"RICHARD E. PETERSON, AREA MANAGER"	6124254750	 	        		PIT LEAK OCCURRED WHICH CAUSED A VERY SMALL AMOUNT OF GASOLINE TO ESCAPE AT THE EDGE OF A MARSH.  PIT WOULD ONLY LEAK AT HIGH PRESSURE (APPROX. 700 PSI).
19850149	12628	MOBIL PIPELINE CO	Yes	19851125	1455	TX	HOWARD	BIG SPRING	No	 	No	"3 MILES SOUTH OF INTERSTATE 20 ON MOSS CREEK LAKE ROAD, AND 3/4 MILES EAST OF GULF REFINERY AT SEC. 14, BLOCK 32, T-1-S, T&PRRCO. SURVEY IN HOWARD COUNTY, TX."	LINE PIPE	PIPE	 	1927	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	10000	CRUDE OIL	1311110	1	76	0	No	No	8	0.32	24000	WELDED	BELOW GROUND	675	250	Yes	3	866	7	69	EXTERNAL	Yes	Yes	OTHER	ISOLATED INACTIVE CELL PO	NO DATA	 	Null	NO DATA	 	Null	Null	"D.L. DENNARD, VICE PRESIDENT, OPERATIONS"	2146582226	 	        		ISOLATED PITTING CAUSED FAILURE OF PIPE WALL RESULTING IN THE CRUDE OIL SPILL. PIPE WAS REPAIRED BY INSTALLING A PLIDCO SPLIT SLEEVE WELDEDON TO THE PIPE. PIPE TO SOIL POTENTIAL AT THE SURFACE OF THE PIPE WAS DETERMINED TO BE ADEQUATE AT THIS SITE.
19850150	2731	CHEVRON PIPELINE CO	No	19851214	815	TX	WINKLER	 	No	 	No	"MP 76.13 WINK-MONAHANS 8"" CRUDE OIL PIPELINE (STA 4019 + 76) 2.4 MILES SOUTH EAST OF FM 1232 WINKLER COUNTY, TX IN MESQUITE PASTURE."	LINE PIPE	NO DATA	 	1929	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	300	CRUDE OIL	1311110	1	570	470	No	No	8	0.32	0	THREADED	ABOVE GROUND	900	532	Null	0	0	0	0	EXTERNAL	No	Yes	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	"R.L. DOWNIE, DIVISION MANAGER"	9156877551	 	        		
19850151	14295	OLYMPIC PIPE LINE CO	Yes	19851128	2130	WA	KING	 	No	 	No	SEA - TAC INTERNATIONAL AIRPORT	TANK FARM	NO DATA	"1"" BALL VALVE ON DRAIN"	1970	INCORRECT OPERATION BY OPERATOR PERSONNEL	INCOMPLETE CLOSURE OF 1'	0	0	0	1	1	0	1000000	JET FUEL	2911130	3	745	600	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"J. C. DURBIN, PRESIDENT"	2146582400	 	        		
