Regional Member,Year,"Agriculture, Value Added (% of GDP)",Subregion,Country Code
Central and West Asia,1966,,Central and West Asia,
Central and West Asia,1976,,Central and West Asia,
Central and West Asia,1986,27.6,Central and West Asia,
Central and West Asia,1996,23.8,Central and West Asia,
Central and West Asia,2006,17.2,Central and West Asia,
Central and West Asia,2015,16.3,Central and West Asia,
Developed Member Economies,1966,,,
Developed Member Economies,1976,4.8,,
Developed Member Economies,1986,2.8,,
Developed Member Economies,1996,1.9,,
Developed Member Economies,2006,1.5,,
Developed Member Economies,2015,,,
Developing Member Economies,1966,,,
Developing Member Economies,1976,,,
Developing Member Economies,1986,22.5,,
Developing Member Economies,1996,16.8,,
Developing Member Economies,2006,10.2,,
Developing Member Economies,2015,9.6,,
East Asia,1966,,East Asia,
East Asia,1976,,East Asia,
East Asia,1986,18.4,East Asia,
East Asia,1996,12.1,East Asia,
East Asia,2006,7.7,East Asia,
East Asia,2015,7.8,East Asia,
Regional Members,1966,,,
Regional Members,1976,,,
Regional Members,1986,9.2,,
Regional Members,1996,7.4,,
Regional Members,2006,6.3,,
Regional Members,2015,,,
South Asia,1966,,South Asia,
South Asia,1976,,South Asia,
South Asia,1986,30.3,South Asia,
South Asia,1996,26.8,South Asia,
South Asia,2006,18.3,South Asia,
South Asia,2015,16.7,South Asia,
Southeast Asia,1966,,Southeast Asia,
Southeast Asia,1976,,Southeast Asia,
Southeast Asia,1986,22.6,Southeast Asia,
Southeast Asia,1996,20.3,Southeast Asia,
Southeast Asia,2006,10.7,Southeast Asia,
Southeast Asia,2015,11.2,Southeast Asia,
The Pacific,1966,,The Pacific,
The Pacific,1976,,The Pacific,
The Pacific,1986,30.4,The Pacific,
The Pacific,1996,28.9,The Pacific,
The Pacific,2006,19.9,The Pacific,
The Pacific,2015,12.1,The Pacific,
World,1966,,,
World,1976,,,
World,1986,5.8,,
World,1996,4.1,,
World,2006,3.4,,
World,2015,4.3,,
Afghanistan,1966,,Central and West Asia,AFG
Afghanistan,1976,,Central and West Asia,AFG
Afghanistan,1986,,Central and West Asia,AFG
Afghanistan,1996,38.5,Central and West Asia,AFG
Afghanistan,2006,29.2,Central and West Asia,AFG
Afghanistan,2015,22.9,Central and West Asia,AFG
Armenia,1966,,Central and West Asia,ARM
Armenia,1976,,Central and West Asia,ARM
Armenia,1986,17.4,Central and West Asia,ARM
Armenia,1996,36.8,Central and West Asia,ARM
Armenia,2006,20.5,Central and West Asia,ARM
Armenia,2015,19,Central and West Asia,ARM
Azerbaijan,1966,,Central and West Asia,AZE
Azerbaijan,1976,,Central and West Asia,AZE
