Category: All categories

Region,Inflation: (2008)
District of Columbia,100
Vermont,99
Iowa,91
New York,90
Delaware,90
Indiana,88
Alaska,88
Massachusetts,86
North Dakota,86
Utah,84
Minnesota,82
Virginia,82
New Hampshire,82
Maryland,81
Idaho,81
California,81
Colorado,81
Montana,80
New Mexico,79
Michigan,78
Oregon,78
New Jersey,77
Wyoming,77
Arizona,77
South Dakota,77
Connecticut,76
Illinois,76
Wisconsin,75
Pennsylvania,74
Washington,73
Nebraska,73
Ohio,72
Missouri,71
Oklahoma,70
Alabama,70
Tennessee,68
Hawaii,68
Kansas,68
North Carolina,66
Georgia,65
South Carolina,65
Arkansas,65
Texas,65
Mississippi,65
Rhode Island,64
Kentucky,64
Maine,64
West Virginia,64
Nevada,62
Florida,57
Louisiana,51
