Category: All categories

Country,The Tortured Poets Department: (3/19/24 - 4/19/24)
Botswana,
Philippines,100
Northern Mariana Islands,
Australia,75
Singapore,60
Mexico,58
United States,57
New Zealand,54
Argentina,49
Canada,49
Guernsey,
Ireland,42
Brunei,
Guam,
Portugal,40
Paraguay,
Uruguay,
United Kingdom,36
Costa Rica,
El Salvador,
Belize,
Nicaragua,
Brazil,29
Denmark,28
Chile,28
Honduras,
Maldives,
Spain,28
Jersey,
Faroe Islands,
Venezuela,27
Malta,
Cayman Islands,
Isle of Man,
Iceland,
Myanmar (Burma),
Guatemala,
Cuba,
Aruba,
Belgium,22
Austria,22
Trinidad & Tobago,
Norway,21
Italy,20
Puerto Rico,
Hong Kong,19
Guyana,
Grenada,
Lebanon,
Bhutan,
Germany,19
Ecuador,19
Israel,
Peru,19
Netherlands,19
Finland,
Malaysia,18
China,
Panama,
Indonesia,17
Madagascar,
Slovenia,
Colombia,17
Sweden,17
Czechia,17
Estonia,
Greece,16
North Macedonia,
Bahamas,
Macao,
Croatia,
St. Lucia,
Cyprus,
Luxembourg,
Hungary,14
Serbia,
Albania,
Fiji,
Cambodia,
United Arab Emirates,
South Africa,12
Mauritius,
Poland,11
Bulgaria,
Bosnia & Herzegovina,
Switzerland,
Thailand,10
Romania,
Slovakia,
Kosovo,
Qatar,
Bolivia,
Dominican Republic,
France,9
Bahrain,
Montenegro,
Nepal,
Vietnam,8
Georgia,
Zimbabwe,
Latvia,
St. Helena,
Kuwait,
Taiwan,8
Papua New Guinea,
Lithuania,
Tunisia,
India,6
Sri Lanka,
Syria,
Saudi Arabia,
Jamaica,
Namibia,
Türkiye,5
Palestine,
Jordan,
Pakistan,
Oman,
Armenia,
Morocco,
Egypt,
Zambia,
Bangladesh,
Iran,3
Algeria,
Libya,
Uganda,
Belarus,
Moldova,
Azerbaijan,
Iraq,
South Korea,
Russia,2
Angola,
Ethiopia,
Kazakhstan,
Ukraine,
Kenya,
Mozambique,
Laos,
Nigeria,
Japan,1
Cameroon,
Tanzania,
Uzbekistan,
Ghana,
Lesotho,
Anguilla,
Haiti,
Mongolia,
Heard & McDonald Islands,
Mali,
Mauritania,
Montserrat,
Martinique,
French Guiana,
Malawi,
Greenland,
Mayotte,
Equatorial Guinea,
New Caledonia,
Niger,
Norfolk Island,
Marshall Islands,
Guinea-Bissau,
Niue,
Gambia,
Guadeloupe,
Guinea,
Nauru,
Gibraltar,
Kyrgyzstan,
Gabon,
Micronesia,
Pitcairn Islands,
Falkland Islands (Islas Malvinas),
Kiribati,
Palau,
Western Sahara,
Eritrea,
Dominica,
North Korea,
Djibouti,
Christmas Island,
Curaçao,
French Polynesia,
Cape Verde,
Réunion,
Comoros,
Cook Islands,
Rwanda,
Congo - Brazzaville,
Sudan,
Senegal,
Congo - Kinshasa,
South Georgia & South Sandwich Islands,
St. Kitts & Nevis,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Côte d’Ivoire,
San Marino,
Somalia,
St. Pierre & Miquelon,
Cocos (Keeling) Islands,
South Sudan,
São Tomé & Príncipe,
Suriname,
Central African Republic,
Bouvet Island,
Barbados,
Eswatini,
Sint Maarten,
Seychelles,
Bermuda,
Turks & Caicos Islands,
Chad,
Togo,
St. Barthélemy,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Burkina Faso,
Caribbean Netherlands,
Benin,
Tuvalu,
Burundi,
Monaco,
Antigua & Barbuda,
St. Martin,
U.S. Outlying Islands,
French Southern Territories,
Antarctica,
Liechtenstein,
Vatican City,
St. Vincent & Grenadines,
American Samoa,
British Virgin Islands,
U.S. Virgin Islands,
Andorra,
Vanuatu,
Wallis & Futuna,
Samoa,
Åland Islands,
Yemen,
Liberia,
Afghanistan,
British Indian Ocean Territory,
