Category: All categories,
,
Country,The Tortured Poets Department: (3/19/24 - 4/22/24)
Philippines,100
Iceland,
Australia,73
Singapore,60
United States,58
Northern Mariana Islands,
Mexico,51
Ireland,50
Canada,49
New Zealand,48
Guernsey,
Argentina,46
Brunei,
Portugal,42
Paraguay,
Uruguay,
Belize,
El Salvador,
Bermuda,
United Kingdom,35
Costa Rica,
Guam,
Nicaragua,
Cayman Islands,
Brazil,30
Isle of Man,
Cuba,
Denmark,29
Honduras,
Chile,29
Malta,
Jersey,
Myanmar (Burma),
Spain,27
Aruba,
Maldives,
Trinidad & Tobago,
Hong Kong,23
Venezuela,23
Norway,23
Malaysia,23
Guatemala,
Austria,23
Puerto Rico,
Madagascar,
Peru,22
Lebanon,
Italy,21
Grenada,
Sweden,20
Indonesia,20
Panama,
Ecuador,20
Belgium,19
China,
Slovenia,
Germany,19
Guyana,
Netherlands,18
Macao,
Bhutan,
Colombia,18
Estonia,
U.S. Virgin Islands,
Bahamas,
Czechia,17
North Macedonia,
Fiji,
Cyprus,
Croatia,
Greece,15
Israel,15
Finland,15
Hungary,14
Luxembourg,
Andorra,
Mauritius,
Serbia,
Cambodia,
St. Lucia,
Albania,
United Arab Emirates,
South Africa,13
Bulgaria,
Switzerland,12
Poland,11
Romania,11
Barbados,
Slovakia,
Bosnia & Herzegovina,
Dominican Republic,
Nepal,
Bahrain,
Bolivia,
Zimbabwe,
Qatar,
France,10
Thailand,10
Kosovo,
St. Helena,
Vietnam,10
Montenegro,
Taiwan,9
Georgia,
Namibia,
Latvia,
Kuwait,
Suriname,
Papua New Guinea,
Lithuania,
Tunisia,
Sri Lanka,
India,7
Botswana,
Pakistan,
Saudi Arabia,
Jamaica,
Syria,
Armenia,
Türkiye,5
Jordan,
Palestine,
Iran,4
Oman,
Morocco,
Bangladesh,
Zambia,
Egypt,
Algeria,
Libya,
Laos,
Uganda,
Malawi,
Belarus,
South Korea,
Azerbaijan,
Russia,3
Réunion,
Iraq,
Mozambique,
Mongolia,
Cameroon,
Ethiopia,
Angola,
Moldova,
Ukraine,
Nigeria,
Rwanda,
Kenya,
Tanzania,
Kazakhstan,
Senegal,
Japan,1
Afghanistan,
Ghana,
Kyrgyzstan,
Uzbekistan,
Yemen,
Côte d’Ivoire,
Lesotho,
Anguilla,
Niger,
Norfolk Island,
Equatorial Guinea,
Guinea-Bissau,
Niue,
Gambia,
Guadeloupe,
Guinea,
Nauru,
Gibraltar,
Mayotte,
Gabon,
Micronesia,
Pitcairn Islands,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Palau,
Greenland,
Western Sahara,
Eritrea,
North Korea,
Dominica,
Djibouti,
Christmas Island,
French Polynesia,
Curaçao,
French Guiana,
Cape Verde,
Martinique,
Montserrat,
Comoros,
Sudan,
Mauritania,
Cook Islands,
South Georgia & South Sandwich Islands,
Congo - Brazzaville,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Congo - Kinshasa,
San Marino,
Somalia,
St. Pierre & Miquelon,
Heard & McDonald Islands,
South Sudan,
São Tomé & Príncipe,
Haiti,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Eswatini,
Sint Maarten,
Seychelles,
British Indian Ocean Territory,
Turks & Caicos Islands,
Chad,
Togo,
St. Barthélemy,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Burkina Faso,
Caribbean Netherlands,
Benin,
Tuvalu,
Burundi,
Mali,
Marshall Islands,
Monaco,
U.S. Outlying Islands,
Kiribati,
Antigua & Barbuda,
St. Martin,
Vatican City,
St. Vincent & Grenadines,
French Southern Territories,
British Virgin Islands,
Antarctica,
American Samoa,
Vanuatu,
Wallis & Futuna,
Samoa,
Åland Islands,
St. Kitts & Nevis,
Liberia,
Liechtenstein,
New Caledonia,
