Category: All categories

Month,shoulder mobility: (United States),hip mobility: (United States)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,14
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,10
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,9
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,13
2010-12,0,0
2011-01,6,14
2011-02,14,7
2011-03,7,8
2011-04,7,10
2011-05,6,7
2011-06,16,12
2011-07,0,9
2011-08,7,8
2011-09,7,7
2011-10,10,11
2011-11,15,11
2011-12,0,11
2012-01,8,14
2012-02,11,15
2012-03,11,12
2012-04,13,20
2012-05,5,15
2012-06,9,15
2012-07,12,14
2012-08,14,16
2012-09,6,15
2012-10,13,17
2012-11,12,19
2012-12,14,12
2013-01,13,13
2013-02,20,20
2013-03,20,18
2013-04,12,21
2013-05,18,18
2013-06,18,30
2013-07,14,20
2013-08,13,26
2013-09,18,21
2013-10,18,21
2013-11,19,17
2013-12,21,23
2014-01,23,27
2014-02,25,28
2014-03,21,23
2014-04,23,23
2014-05,22,23
2014-06,24,28
2014-07,21,22
2014-08,23,25
2014-09,19,18
2014-10,18,23
2014-11,23,22
2014-12,21,22
2015-01,22,30
2015-02,30,24
2015-03,28,29
2015-04,26,28
2015-05,19,28
2015-06,23,24
2015-07,27,22
2015-08,22,23
2015-09,25,25
2015-10,25,32
2015-11,24,21
2015-12,21,31
2016-01,24,28
2016-02,29,34
2016-03,27,32
2016-04,23,34
2016-05,22,26
2016-06,27,27
2016-07,21,31
2016-08,25,27
2016-09,28,29
2016-10,29,29
2016-11,29,27
2016-12,22,27
2017-01,28,33
2017-02,26,34
2017-03,34,36
2017-04,30,34
2017-05,26,37
2017-06,23,30
2017-07,26,38
2017-08,30,32
2017-09,30,25
2017-10,28,32
2017-11,31,32
2017-12,28,30
2018-01,32,42
2018-02,34,41
2018-03,36,37
2018-04,26,34
2018-05,25,32
2018-06,28,35
2018-07,27,33
2018-08,28,31
2018-09,30,36
2018-10,34,34
2018-11,28,35
2018-12,25,30
2019-01,29,39
2019-02,31,40
2019-03,30,35
2019-04,34,37
2019-05,29,36
2019-06,34,32
2019-07,24,34
2019-08,26,36
2019-09,28,41
2019-10,31,39
2019-11,29,36
2019-12,23,31
2020-01,29,39
2020-02,29,46
2020-03,27,41
2020-04,33,48
2020-05,25,42
2020-06,23,45
2020-07,30,38
2020-08,29,38
2020-09,31,43
2020-10,30,41
2020-11,26,36
2020-12,28,35
2021-01,28,44
2021-02,32,48
2021-03,34,47
2021-04,31,50
2021-05,26,49
2021-06,26,46
2021-07,26,49
2021-08,31,48
2021-09,28,47
2021-10,28,46
2021-11,35,47
2021-12,26,49
2022-01,43,60
2022-02,50,84
2022-03,50,81
2022-04,43,71
2022-05,46,65
2022-06,43,64
2022-07,44,73
2022-08,43,76
2022-09,44,72
2022-10,43,73
2022-11,39,65
2022-12,40,64
2023-01,50,90
2023-02,54,94
2023-03,50,83
2023-04,48,84
2023-05,42,73
2023-06,48,84
2023-07,44,100
2023-08,45,84
2023-09,47,80
2023-10,50,78
2023-11,39,72
2023-12,39,72
2024-01,53,92
2024-02,52,85
2024-03,47,84
2024-04,52,85
