"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72502014734","2022-01-01","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  51.6","24","  50.2","24","1010.1","24","009.3","24","  6.4","24","  3.4","24","  9.9","999.9","  55.0"," ","  46.9"," "," 0.02","G","999.9","010000"
"72502014734","2022-01-02","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  53.5","24","  51.4","24","1003.3","18","001.9","24","  7.2","24","  7.2","24"," 17.1"," 25.1","  59.0"," ","  44.1"," "," 0.83","G","999.9","010000"
"72502014734","2022-01-03","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  32.6","24","  18.1","24","1017.5","24","016.6","24"," 10.0","24"," 14.9","24"," 20.0"," 28.9","  59.0"," ","  26.1"," "," 0.04","G","999.9","000000"
"72502014734","2022-01-04","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  25.0","24","   8.5","24","1027.3","24","026.4","24"," 10.0","24","  8.5","24"," 14.0"," 19.0","  36.0"," ","  18.0"," "," 0.00","G","999.9","000000"
"72502014734","2022-01-05","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  33.6","24","  27.6","24","1020.1","18","017.6","24","  8.9","24","  5.2","24"," 13.0","999.9","  46.0"," ","  18.0"," "," 0.03","G","999.9","011000"
"72502014734","2022-01-06","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  35.9","24","  25.6","24","1009.9","24","009.0","24"," 10.0","24","  8.6","24"," 15.9"," 24.1","  46.0"," ","  25.0"," "," 0.11","G","999.9","000000"
"72502014734","2022-01-07","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  30.1","24","  20.8","24","1012.2","20","010.3","24","  7.6","24"," 11.4","24"," 22.9"," 29.9","  37.9"," ","  27.0"," "," 0.26","G","  3.9","001000"
"72502014734","2022-01-08","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  23.9","24","   8.7","24","1030.0","24","029.0","24"," 10.0","24","  8.3","24"," 15.0"," 22.0","  33.1"," ","  19.0"," "," 0.01","G","  3.1","000000"
"72502014734","2022-01-09","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  29.5","24","  21.0","24","1027.3","24","026.5","24","  9.8","24","  8.5","24"," 17.1"," 24.1","  37.0"," ","  19.0"," "," 0.00","G","  1.2","010000"
"72502014734","2022-01-10","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  31.8","24","  19.0","24","1018.6","24","017.4","24","  9.6","24"," 13.6","24"," 20.0"," 27.0","  37.9"," ","  21.9"," "," 0.08","G","  2.0","010000"
"72502014734","2022-01-11","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  19.4","24","  -0.0","24","1028.6","24","027.7","24"," 10.0","24"," 12.6","24"," 24.1"," 34.0","  37.9"," ","  15.1"," "," 0.00","G","999.9","001000"
"72502014734","2022-01-12","40.68275","-74.16927","1.9","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  24.9","24","   8.5","24","1026.0","24","025.1","24"," 10.0","24","  7.6","24"," 15.0"," 22.9","  39.9"," ","  15.1"," "," 0.00","G","999.9","000000"
