Date,Steps,Distance,Floors Ascended
4/9/2024,6615,2.5,15
4/8/2024,7823,3.4,18
4/7/2024,7305,3.3,2
4/6/2024,2708,1.1,1
4/5/2024,2732,1.2,1
4/4/2024,11073,4.5,19
4/3/2024,2417,0.9,2
4/2/2024,10198,3.8,21
4/1/2024,10258,3.8,17
3/31/2024,862,0.3,1
3/30/2024,19046,6.8,4
3/29/2024,14766,5.4,2
3/28/2024,13409,4.8,4
3/27/2024,13160,5.1,2
3/26/2024,8968,3.2,7
3/25/2024,11208,5.1,21
3/24/2024,10021,4.6,2
3/23/2024,409,0.1,0
3/22/2024,3838,1.6,3
3/21/2024,11068,4.1,25
3/20/2024,4523,1.7,2
3/19/2024,10217,4.4,25
3/18/2024,10538,3.9,19
3/17/2024,8741,4.1,1
3/16/2024,2374,0.9,2
3/15/2024,2576,1,3
3/14/2024,11813,4.7,19
3/13/2024,4674,1.9,2
3/12/2024,11511,4.6,19
3/11/2024,11530,4.2,21
3/10/2024,7397,3.5,1
3/9/2024,1068,0.4,1
3/8/2024,1309,0.6,1
3/7/2024,8915,4.9,16
3/6/2024,6446,3.2,4
3/5/2024,8128,4,14
3/4/2024,10666,5.3,17
3/3/2024,1752,0.8,3
3/2/2024,3531,1.8,4
3/1/2024,8410,4.2,2
2/29/2024,10537,5.7,19
2/28/2024,4891,2.6,2
2/27/2024,12922,6.1,21
2/26/2024,11305,5.6,18
2/25/2024,10576,5.3,1
2/24/2024,1253,0.6,1
2/23/2024,5473,2.8,2
2/22/2024,7098,3.6,11
2/21/2024,4848,2.6,4
2/20/2024,10726,5.5,20
2/19/2024,2170,1.1,4
2/18/2024,572,0.3,1
2/17/2024,3746,2,4
2/16/2024,10468,5.3,2
2/15/2024,10472,5.4,19
2/14/2024,7053,3.6,4
2/13/2024,1831,1,1
2/12/2024,10627,5.2,16
2/11/2024,7887,3.8,3
2/10/2024,8322,4.2,2
2/9/2024,2222,1.2,2
2/8/2024,10672,5.6,17
2/7/2024,8412,4.2,1
2/6/2024,9241,4.6,17
2/5/2024,11178,5.4,12
2/4/2024,10405,5.1,3
2/3/2024,7002,3.5,2
2/2/2024,9002,4.5,1
2/1/2024,12728,6.1,20
1/31/2024,8232,4.2,3
1/30/2024,12116,6.4,19
