X,Y,OBJECTID,DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION_DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
-13049427.1232,3881993.0786,1,11,5,,SD,R,30.345,L,BEG INDEP ALIGN LT LNS,8600.0,94000.0,80000.0,3850.0,51000.0,46000.0
-13049390.4773,3882146.0543,2,11,5,,SD,R,30.426,L,"SAN DIEGO, SORRENTO VALLEY ROAD",4200.0,55000.0,50000.0,3800.0,46500.0,40000.0
-13049407.3503,3882634.675,3,11,5,,SD,R,30.682,L,"SAN DIEGO, NORTH JCT RTE 805",6500.0,82000.0,70000.0,4700.0,63000.0,60000.0
-13049786.2362,3883450.1658,4,11,5,,SD,R,31.155,L,"R31.155 EQUATES R31.188, END INDEP ALIGN",8400.0,104000.0,81000.0,,,
-13132933.3084,4009213.7373,5,12,5,,ORA,,41.84,L,BEG INDEP ALIGN LT LNS,19200.0,243000.0,223000.0,11600.0,147000.0,133900.0
-13133353.0218,4009497.9328,6,12,5,,ORA,,42.1,L,"FULLERTON, JCT. RTE. 91",11600.0,147000.0,133900.0,11600.0,147000.0,133900.0
-13134102.0496,4009889.4984,7,12,5,,ORA,,42.515,L,END LEFT ALIGN,17000.0,232000.0,210200.0,18800.0,232000.0,210200.0
-13190247.6131,4071198.5904,8,7,5,S,LA,C,43.899,L,"LOS ANGELES, BEGIN TRUCK FREEWAY",,,,1150.0,18200.0,17400.0
-13191605.4371,4072612.5201,9,7,5,S,LA,C,44.924,L,"LOS ANGELES, END INDEPENDENT ALIGNMENT",1150.0,18200.0,17400.0,,,
-13235510.7977,4147320.715,10,6,5,,KER,,5.152,L,BEGIN INDEP ALIGN LT LANES,8500.0,105000.0,83000.0,4600.0,50000.0,43000.0
-13239308.6178,4155568.4672,11,6,5,,KER,,10.153,L,GRAPEVINE,4600.0,50000.0,43000.0,4600.0,50000.0,43000.0
-13239309.4922,4155578.2475,12,6,5,,KER,,10.158,L,"GRAPEVINE UC, LEFT",4600.0,50000.0,43000.0,4600.0,50000.0,43000.0
-13239403.6348,4156078.9355,13,6,5,,KER,,10.408,L,END INDEP ALIGN LT,4600.0,50000.0,43000.0,9200.0,104000.0,86000.0
-13241709.8097,4164975.4182,14,6,5,,KER,R,15.076,L,BEG INDEP ALIGN LT LNS,12250.0,122000.0,111700.0,4300.0,43900.0,39400.0
-13241709.8097,4164975.4182,15,6,5,,KER,R,15.076,L,BEG RTE 5 CONN RT LNS,2150.0,22000.0,19700.0,2150.0,22000.0,19700.0
