pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_year
Kepler-1167 b,1.71,0.12,-0.12,3.57,NA,NA,Transit,2016
Kepler-1740 b,3.32321414,NA,NA,11,NA,NA,Transit,2021
Kepler-1581 b,0.8,0.14,-0.09,0.437,NA,NA,Transit,2016
Kepler-644 b,3.15,1.16,-0.61,10.1,NA,NA,Transit,2016
Kepler-1752 b,4.54060463,NA,NA,18.7,NA,NA,Transit,2021
Kepler-280 c,2.01,0.97,-0.97,4.7,NA,NA,Transit,2014
Kepler-1208 b,2.32,0.19,-0.14,5.99,NA,NA,Transit,2016
Kepler-263 c,2.47,1.35,-1.35,6.66,NA,NA,Transit,2014
Kepler-1101 b,2.47,0.37,-0.21,6.66,NA,NA,Transit,2016
HD 168746 b,11.1,NA,NA,85.8141,6.3566,-6.3566,Radial Velocity,2002
Kepler-560 b,1.72,0.09,-0.09,3.61,NA,NA,Transit,2016
Kepler-150 d,2.79,0.41,-0.41,8.2,NA,NA,Transit,2014
Kepler-498 b,3.03,0.5,-0.34,9.43,NA,NA,Transit,2016
Kepler-817 b,9.03,2.06,-1.13,60.2,NA,NA,Transit,2016
Kepler-937 b,3.72,1.29,-0.48,13.4,NA,NA,Transit,2016
K2-10 b,3.773,0.088,-0.048,25.2,8.4,-8.4,Transit,2015
Kepler-571 b,2.64,0.32,-0.17,7.46,NA,NA,Transit,2016
Kepler-1458 b,2.76,0.42,-0.21,8.05,NA,NA,Transit,2016
K2-335 b,2.21,0.18,-0.14,5.52,NA,NA,Transit,2021
Kepler-1600 c,1.94206512,NA,NA,4.43,NA,NA,Transit,2021
Kepler-221 d,2.73,0.25,-0.25,3.61,0.91,-0.81,Transit,2014
Kepler-626 b,2.29,0.28,-0.2,5.86,NA,NA,Transit,2016
Kepler-1549 b,2.57,0.22,-0.2,7.13,NA,NA,Transit,2016
K2-62 c,1.99,0.19,-0.07,4.62,NA,NA,Transit,2016
Kepler-1149 b,1.44,0.26,-0.17,2.67,NA,NA,Transit,2016
Kepler-1288 b,1.12,0.47,-0.16,1.46,NA,NA,Transit,2016
Kepler-128 b,1.421,0.04,-0.04,3.79,0.76,-0.66,Transit,2013
Kepler-1245 b,1.44,0.12,-0.1,2.67,NA,NA,Transit,2016
Kepler-1068 b,3.63,0.89,-0.37,12.8,NA,NA,Transit,2016
Kepler-311 c,1.43,0.28,-0.28,2.63,NA,NA,Transit,2014
Kepler-150 e,3.12,0.55,-0.55,9.91,NA,NA,Transit,2014
Kepler-272 c,1.79,0.96,-0.96,97.8,55.5,-33.9,Transit,2014
Kepler-152 c,2.39,0.16,-0.16,6.3,NA,NA,Transit,2014
Kepler-1506 b,1.32,0.19,-0.13,2.3,NA,NA,Transit,2016
CoRoT-3 b,11.32,0.78,-0.78,6883.91,317.8,-317.8,Transit,2008
HD 205739 b,13.6,NA,NA,435.41,22.25,-28.6,Radial Velocity,2008
NGTS-10 b,13.506845,1.311453,-0.930347,687.14846,29.24036,-34.00781,Transit,2020
HD 224693 b,14,NA,NA,222.481,38.1396,-38.1396,Radial Velocity,2006
HD 156279 b,12.5,NA,NA,2997.75753482,242.18524613,-254.58055401,Radial Velocity,2011
HD 12661 b,13.3,NA,NA,772.3269,44.4962,-44.4962,Radial Velocity,2000
HD 16417 b,5,NA,NA,22.1,2,-2,Radial Velocity,2008
HD 19994 b,13.6,NA,NA,435.41,38.14,-38.14,Radial Velocity,2003
HD 156279 c,12.5,NA,NA,3098.82696825,419.21566883,-192.28618624,Radial Velocity,2018
GJ 179 b,13.8,NA,NA,301.93698665,50.85254512,-34.96112477,Radial Velocity,2009
GQ Lup b,33.6,5.6,-5.6,6356,NA,NA,Imaging,2004
GJ 832 b,13.8,NA,NA,314.65012293,28.60455663,-25.42627256,Radial Velocity,2008
HD 37605 b,13.2,NA,NA,854.9627,95.349,-95.349,Radial Velocity,2004
HD 33283 b,12.5,NA,NA,104.56607,22.56593,-22.56593,Radial Velocity,2006
HD 9446 b,14,NA,NA,222.472,19.069,-19.069,Radial Velocity,2009
HD 134987 c,13.9,NA,NA,260,10,-10,Radial Velocity,2009
HD 110014 b,12.4,NA,NA,3524.59,317.82,-317.82,Radial Velocity,2009
HD 79498 b,13.6,NA,NA,425.8922,66.7443,-66.7443,Radial Velocity,2011
HD 45652 b,14.3,NA,NA,137.62039,24.15508,-24.15508,Radial Velocity,2008
HIP 79431 b,13.4,NA,NA,667.415,NA,NA,Radial Velocity,2009
HD 3167 b,1.67,0.17,-0.1,4.97,0.24,-0.23,Transit,2016
GJ 876 b,13.3,NA,NA,723.2235,1.4302,-1.4302,Radial Velocity,1998
HD 114783 c,13.4,NA,NA,603.8739733,158.9142035,-127.1313628,Radial Velocity,2018
HD 47186 c,13,NA,NA,111.42,NA,NA,Radial Velocity,2008
HD 114783 b,13.7,NA,NA,349.6,19.07,-19.07,Radial Velocity,2001
HD 148156 b,13.9,NA,NA,270.144,212.937,-15.8908,Radial Velocity,2009
HD 12661 c,13.2,NA,NA,899.45439181,260.61929374,-212.94503269,Radial Velocity,2002
HIP 14810 c,13.6,NA,NA,416.3573,57.2094,-57.2094,Radial Velocity,2006
HIP 14810 b,13,NA,NA,1239.537,155.7367,-155.7367,Radial Velocity,2005
GJ 876 d,2.51,NA,NA,6.83,0.4,-0.4,Radial Velocity,2005
GJ 876 e,3.92,NA,NA,14.6,1.7,-1.7,Radial Velocity,2010
gam1 Leo b,12.5,NA,NA,2790.43,317.817,-317.817,Radial Velocity,2009
HD 156411 b,14,NA,NA,235.18,15.89,-12.71,Radial Velocity,2009
HD 8535 b,14,NA,NA,216.1244,22.2481,-12.7132,Radial Velocity,2010
HD 37605 c,13.1,NA,NA,1013.8777,120.7754,-120.7754,Radial Velocity,2012
HD 1605 c,13,NA,NA,1150.5446,73.1009,-73.1009,Radial Velocity,2015
BD+20 2457 b,12.1,NA,NA,6807.63,NA,NA,Radial Velocity,2009
HD 240210 b,12.8,NA,NA,1655.82,NA,NA,Radial Velocity,2009
