release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2017-10-24,nat,201740,201540,104,10049,808287,1963,2849,3693,NA,2015,871,621,1.22559,1.24325
2017-10-24,nat,201740,201541,103,10715,809660,1976,3016,4007,NA,2102,912,678,1.31066,1.3234
2017-10-24,nat,201740,201542,102,11584,825079,1995,3263,4360,NA,2357,951,653,1.3711,1.40399
2017-10-24,nat,201740,201543,101,11164,811165,1999,3141,4148,NA,2254,927,694,1.39171,1.37629
2017-10-24,nat,201740,201544,100,12423,845875,2048,3563,4783,NA,2450,935,692,1.43712,1.46866
2017-10-24,nat,201740,201545,99,12676,826877,2028,3746,4725,NA,2517,943,745,1.50165,1.533
2017-10-24,nat,201740,201546,98,13484,838344,2023,3960,5076,NA,2656,1026,766,1.59805,1.60841
2017-10-24,nat,201740,201547,97,12158,639738,2000,3974,4073,NA,2427,981,703,1.89668,1.90047
2017-10-24,nat,201740,201548,96,14617,841777,2040,4469,5076,NA,3011,1232,829,1.67728,1.73645
2017-10-24,nat,201740,201549,95,14986,823657,2020,4575,5384,NA,2902,1252,873,1.78296,1.81945
2017-10-24,nat,201740,201550,94,15396,783227,2000,5135,5105,NA,2963,1250,943,1.87336,1.96571
2017-10-24,nat,201740,201551,93,14839,613128,1978,5377,4317,NA,2876,1256,1013,2.32148,2.42021
2017-10-24,nat,201740,201552,92,15679,650356,1949,5700,4011,NA,3264,1524,1180,2.40991,2.41083
2017-10-24,nat,201740,201601,91,15654,787192,2004,4775,4494,NA,3597,1631,1157,1.94328,1.98859
2017-10-24,nat,201740,201602,90,15517,779809,2005,4574,5362,NA,3180,1380,1021,1.99796,1.98985
2017-10-24,nat,201740,201603,89,15661,743249,2008,4804,5380,NA,3226,1297,954,2.11829,2.1071
2017-10-24,nat,201740,201604,88,18143,827482,2026,5088,6882,NA,3615,1551,1007,2.25112,2.19256
2017-10-24,nat,201740,201605,87,18944,823602,2007,5135,7353,NA,3759,1625,1072,2.37116,2.30014
2017-10-24,nat,201740,201606,86,21774,813755,2000,5645,8434,NA,4600,1916,1179,2.80035,2.67574
2017-10-24,nat,201740,201607,85,24681,816098,1993,5997,9325,NA,5642,2347,1370,3.16475,3.02427
2017-10-24,nat,201740,201608,84,26423,848718,1956,6299,10127,NA,6001,2606,1390,3.15183,3.11328
2017-10-24,nat,201740,201609,83,28468,855439,1952,6619,11415,NA,6395,2599,1440,3.3321,3.32788
2017-10-24,nat,201740,201610,82,30481,848628,1922,6660,11856,NA,7358,2977,1630,3.56024,3.5918
2017-10-24,nat,201740,201611,81,24894,804948,1898,5574,9334,NA,6026,2489,1471,3.05479,3.09262
2017-10-24,nat,201740,201612,80,21940,786936,1900,5187,8489,NA,4982,2000,1282,2.76732,2.78803
2017-10-24,nat,201740,201613,79,19603,776752,1832,4581,7392,NA,4476,1953,1201,2.44161,2.52371
2017-10-24,nat,201740,201614,78,16769,787543,1813,3707,6403,NA,3869,1660,1130,2.03348,2.12928
2017-10-24,nat,201740,201615,77,16261,792672,1805,3572,6595,NA,3530,1533,1031,1.98593,2.05142
2017-10-24,nat,201740,201616,76,15437,775895,1774,3515,6357,NA,3247,1373,945,1.91514,1.98957
2017-10-24,nat,201740,201617,75,13836,774777,1759,3157,5557,NA,2986,1235,901,1.69968,1.7858
2017-10-24,nat,201740,201618,74,11870,741210,1742,2772,4729,NA,2586,1037,746,1.57635,1.60144
2017-10-24,nat,201740,201619,73,10707,726244,1690,2871,4046,NA,2276,849,665,1.3935,1.4743
2017-10-24,nat,201740,201620,72,9798,688612,1626,2688,3630,NA,1998,839,643,1.29941,1.42286
2017-10-24,nat,201740,201621,71,8787,635835,1439,2612,3126,NA,1714,717,618,1.18379,1.38196
2017-10-24,nat,201740,201622,70,7997,598077,1482,2545,2620,NA,1637,663,532,1.13723,1.33712
