population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,429614402.55598676,458083382.05453247,396270414.18045557
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,410,Neoplasms,1,Number,2021,263211632.45932025,275615267.33548546,250685509.3825581
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2021,97410375.96230456,111912202.3506722,85228947.87744656
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,2021,161717944.0021406,215750566.3207165,118905726.25948828
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2021,60073057.8387214,87045062.44251047,43426437.33511225
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2021,111444321.02803367,153902033.30465227,81424826.85746315
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2021,158592623.7829943,207205985.6335863,116331920.68793377
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,1,Number,2021,76398360.98108244,83297258.78263927,70503250.06980239
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,526,Digestive diseases,1,Number,2021,87869820.77987064,97843387.20234646,77666939.80380808
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,669,Sense organ diseases,1,Number,2021,76365752.61415605,102853071.5499255,53939838.08726845
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,2021,54045774.57764031,62021975.88997434,47294778.85787727
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,2021,422250671.8084055,455243266.0516733,396485344.3704026
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2021,73955678.97070812,113702590.42723973,43717513.26301636
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,957,Enteric infections,1,Number,2021,74716600.12815477,92043186.67196071,60605754.63368809
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,961,Other infectious diseases,1,Number,2021,51715138.99072318,61287047.53035998,42093176.358697616
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,2021,192698768.2663979,204378935.0328661,180332066.342138
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,973,Substance use disorders,1,Number,2021,34657097.33446656,40934869.67708652,28716648.731110957
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,2021,149004831.58737466,181148758.82251388,121318416.16819443
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,688,Transport injuries,1,Number,2021,79454426.99583489,92452832.67647871,63310482.7254435
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,1,Number,2021,35860774.35046328,50431473.68579438,24687230.488125578
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,696,Unintentional injuries,1,Number,2021,147133776.7836823,176643455.2129017,123324522.44802028
1,All Population,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,974,Diabetes and kidney diseases,1,Number,2021,131293848.8271495,150993214.6576413,115052389.87728347
