entity,code,year,x1_90_a_day_share_of_population_in_poverty_smoothed,x1_90_a_day_share_of_population_in_poverty_smoothed_annotations
East Asia (Moatsos),NA,1820,91.11323,NA
East Asia (Moatsos),NA,1830,92.21521,NA
East Asia (Moatsos),NA,1840,94.198944,NA
East Asia (Moatsos),NA,1850,96.16162,NA
East Asia (Moatsos),NA,1860,96.154205,NA
East Asia (Moatsos),NA,1870,94.556366,NA
East Asia (Moatsos),NA,1880,94.43865,NA
East Asia (Moatsos),NA,1890,95.2815,NA
East Asia (Moatsos),NA,1900,93.97958,NA
East Asia (Moatsos),NA,1910,92.81764,NA
East Asia (Moatsos),NA,1920,90.50595,NA
East Asia (Moatsos),NA,1930,88.65206,NA
East Asia (Moatsos),NA,1940,86.57392,NA
East Asia (Moatsos),NA,1950,86.18259,NA
East Asia (Moatsos),NA,1960,80.22392,NA
East Asia (Moatsos),NA,1970,83.51876,NA
East Asia (Moatsos),NA,1980,82.87016,NA
East Asia (Moatsos),NA,1981,76.05369,NA
East Asia (Moatsos),NA,1982,74.28881,NA
East Asia (Moatsos),NA,1983,71.26093,NA
East Asia (Moatsos),NA,1984,65.06467,NA
East Asia (Moatsos),NA,1985,58.299137,NA
East Asia (Moatsos),NA,1986,55.125847,NA
East Asia (Moatsos),NA,1987,52.443077,NA
East Asia (Moatsos),NA,1988,55.268932,NA
East Asia (Moatsos),NA,1989,56.886063,NA
East Asia (Moatsos),NA,1990,57.696125,NA
East Asia (Moatsos),NA,1991,55.293217,NA
East Asia (Moatsos),NA,1992,52.243362,NA
East Asia (Moatsos),NA,1993,49.503445,NA
East Asia (Moatsos),NA,1994,46.760677,NA
East Asia (Moatsos),NA,1995,41.69168,NA
East Asia (Moatsos),NA,1996,36.51121,NA
East Asia (Moatsos),NA,1997,36.387535,NA
East Asia (Moatsos),NA,1998,36.123356,NA
East Asia (Moatsos),NA,1999,35.31249,NA
East Asia (Moatsos),NA,2000,31.535534,NA
East Asia (Moatsos),NA,2001,29.983791,NA
East Asia (Moatsos),NA,2002,27.825705,NA
East Asia (Moatsos),NA,2003,24.530329,NA
East Asia (Moatsos),NA,2004,20.619246,NA
East Asia (Moatsos),NA,2005,16.290848,NA
East Asia (Moatsos),NA,2006,15.195052,NA
East Asia (Moatsos),NA,2007,13.686337,NA
East Asia (Moatsos),NA,2008,13.096302,NA
East Asia (Moatsos),NA,2009,11.571335,NA
East Asia (Moatsos),NA,2010,9.899257,NA
East Asia (Moatsos),NA,2011,7.0124016,NA
East Asia (Moatsos),NA,2012,5.748721,NA
East Asia (Moatsos),NA,2013,1.6662971,NA
East Asia (Moatsos),NA,2014,1.2256619,NA
East Asia (Moatsos),NA,2015,0.6695854,NA
East Asia (Moatsos),NA,2016,0.5212288,NA
East Asia (Moatsos),NA,2017,0.46974283,NA
East Asia (Moatsos),NA,2018,0.39163637,NA
Eastern Europe and former USSR (Moatsos),NA,1820,91.95677,NA
Eastern Europe and former USSR (Moatsos),NA,1830,91.21722,NA
Eastern Europe and former USSR (Moatsos),NA,1840,90.98896,NA
Eastern Europe and former USSR (Moatsos),NA,1850,90.75377,NA
Eastern Europe and former USSR (Moatsos),NA,1860,88.91783,NA
Eastern Europe and former USSR (Moatsos),NA,1870,86.2522,NA
Eastern Europe and former USSR (Moatsos),NA,1880,82.78667,NA
Eastern Europe and former USSR (Moatsos),NA,1890,70.723915,NA
Eastern Europe and former USSR (Moatsos),NA,1900,61.648247,NA
Eastern Europe and former USSR (Moatsos),NA,1910,55.798725,NA
Eastern Europe and former USSR (Moatsos),NA,1920,59.810688,NA
Eastern Europe and former USSR (Moatsos),NA,1930,59.213993,NA
Eastern Europe and former USSR (Moatsos),NA,1940,41.839714,NA
Eastern Europe and former USSR (Moatsos),NA,1950,32.87629,NA
Eastern Europe and former USSR (Moatsos),NA,1960,11.459604,NA
Eastern Europe and former USSR (Moatsos),NA,1970,1.8488016,NA
Eastern Europe and former USSR (Moatsos),NA,1980,0.71243715,NA
Eastern Europe and former USSR (Moatsos),NA,1981,0.14066727,NA
Eastern Europe and former USSR (Moatsos),NA,1982,0.20430051,NA
Eastern Europe and former USSR (Moatsos),NA,1983,0.18997902,NA
Eastern Europe and former USSR (Moatsos),NA,1984,0.19432488,NA
Eastern Europe and former USSR (Moatsos),NA,1985,0.3843863,NA
Eastern Europe and former USSR (Moatsos),NA,1986,0.16525126,NA
Eastern Europe and former USSR (Moatsos),NA,1987,0.16430666,NA
Eastern Europe and former USSR (Moatsos),NA,1988,0.1523499,NA
Eastern Europe and former USSR (Moatsos),NA,1989,0.16447663,NA
Eastern Europe and former USSR (Moatsos),NA,1990,0.20527494,NA
Eastern Europe and former USSR (Moatsos),NA,1991,0.36304355,NA
Eastern Europe and former USSR (Moatsos),NA,1992,1.4237716,NA
Eastern Europe and former USSR (Moatsos),NA,1993,2.4165463,NA
Eastern Europe and former USSR (Moatsos),NA,1994,3.5505528,NA
Eastern Europe and former USSR (Moatsos),NA,1995,4.032806,NA
Eastern Europe and former USSR (Moatsos),NA,1996,3.9699697,NA
Eastern Europe and former USSR (Moatsos),NA,1997,2.877792,NA
Eastern Europe and former USSR (Moatsos),NA,1998,2.8491569,NA
Eastern Europe and former USSR (Moatsos),NA,1999,4.437432,NA
Eastern Europe and former USSR (Moatsos),NA,2000,3.9686272,NA
Eastern Europe and former USSR (Moatsos),NA,2001,2.7096903,NA
Eastern Europe and former USSR (Moatsos),NA,2002,1.9271643,NA
Eastern Europe and former USSR (Moatsos),NA,2003,1.4351526,NA
Eastern Europe and former USSR (Moatsos),NA,2004,1.1150893,NA
Eastern Europe and former USSR (Moatsos),NA,2005,1.0614665,NA
Eastern Europe and former USSR (Moatsos),NA,2006,0.7281153,NA
Eastern Europe and former USSR (Moatsos),NA,2007,0.41555095,NA
Eastern Europe and former USSR (Moatsos),NA,2008,0.16997586,NA
Eastern Europe and former USSR (Moatsos),NA,2009,0.22267808,NA
Eastern Europe and former USSR (Moatsos),NA,2010,0.26919094,NA
Eastern Europe and former USSR (Moatsos),NA,2011,0.21137214,NA
Eastern Europe and former USSR (Moatsos),NA,2012,0.21849488,NA
Eastern Europe and former USSR (Moatsos),NA,2013,0.20101596,NA
Eastern Europe and former USSR (Moatsos),NA,2014,0.7181383,NA
Eastern Europe and former USSR (Moatsos),NA,2015,0.61586076,NA
Eastern Europe and former USSR (Moatsos),NA,2016,0.17204867,NA
Eastern Europe and former USSR (Moatsos),NA,2017,0.15317613,NA
Eastern Europe and former USSR (Moatsos),NA,2018,0.14258432,NA
Latin America and Caribbean (Moatsos),NA,1820,83.56299,NA
Latin America and Caribbean (Moatsos),NA,1830,83.66293,NA
Latin America and Caribbean (Moatsos),NA,1840,83.007935,NA
Latin America and Caribbean (Moatsos),NA,1850,82.37713,NA
Latin America and Caribbean (Moatsos),NA,1860,80.58133,NA
Latin America and Caribbean (Moatsos),NA,1870,78.35873,NA
Latin America and Caribbean (Moatsos),NA,1880,74.76356,NA
Latin America and Caribbean (Moatsos),NA,1890,73.42829,NA
