Entity,Code,Year,Below $3 a day,$3-$10 a day,$10-$30 a day,Above $30 a day
Albania,ALB,1996,94022,2173977,893264,6770
Albania,ALB,2002,127981,2104725,779910,38394
Albania,ALB,2005,79811,1859922,1028643,43111
Albania,ALB,2008,24383,1706167,1162708,54056
Albania,ALB,2012,52050,1699504,1110869,37978
Albania,ALB,2014,106207,1551125,1161786,69986
Albania,ALB,2015,32116,1275964,1435441,137182
Albania,ALB,2016,32805,1257590,1426626,159080
Albania,ALB,2017,41505,1243553,1440493,147906
Albania,ALB,2018,28951,968423,1725721,143281
Albania,ALB,2019,7774,963647,1708901,173869
Albania,ALB,2020,9675,871610,1789895,166669
Algeria,DZA,1988,2956552,15767637,4969940,415407
Algeria,DZA,1995,3361476,18123269,6625869,359578
Algeria,DZA,2011,0,21541999,14873702,613951
Angola,AGO,2000,4396533,8148798,3234700,530829
Angola,AGO,2008,4856783,12391013,4374550,374368
Angola,AGO,2018,12370168,14651954,4017844,440530
Argentina (urban),,1980,0,2601806,10277900,10338266
Argentina (urban),,1986,332967,1996768,11891382,12106179
Argentina (urban),,1987,399474,3181053,12480076,10801185
Argentina (urban),,1991,371912,6529241,15460496,6657703
Argentina (urban),,1992,735617,6522255,14813046,7425070
Argentina (urban),,1993,872868,6283822,14990718,7822284
Argentina (urban),,1994,823949,6742404,15135778,7743897
Argentina (urban),,1995,1582863,7834665,14716596,6785008
Argentina (urban),,1996,1698221,8387795,14326232,6969870
Argentina (urban),,1997,1659340,8070551,14529366,7577545
Argentina (urban),,1998,1827357,8875858,14212610,7368363
Argentina (urban),,1999,1933148,9361112,14353891,7081455
Argentina (urban),,2000,2436819,9857640,13850174,7028657
Argentina (urban),,2001,3604821,10365361,13284868,6354830
Argentina (urban),,2002,5806569,13235519,11254947,3743037
Argentina (urban),,2003,2821463,11081670,14142459,6415608
Argentina (urban),,2004,2099848,10087581,15246054,7446501
Argentina (urban),,2005,1562206,9202955,15932594,8609513
Argentina (urban),,2006,1238049,7833537,16286167,10381395
Argentina (urban),,2007,997655,7962107,16318061,10883725
Argentina (urban),,2008,959954,7021590,17037495,11576941
Argentina (urban),,2009,906921,6546925,17050243,12547567
Argentina (urban),,2010,575574,6346869,17528433,13059492
Argentina (urban),,2011,458596,5526901,17420318,14564913
Argentina (urban),,2012,487751,5133609,17795752,15001072
Argentina (urban),,2013,423223,5324924,17854388,15253529
Argentina (urban),,2014,416356,6270967,18834525,13792256
Argentina (urban),,2016,510450,6167859,19058585,14487646
Argentina (urban),,2017,452771,5247296,18980699,15953850
Argentina (urban),,2018,672105,6596409,19867724,13888202
Argentina (urban),,2019,696965,7623787,19824930,13225858
Argentina (urban),,2020,914522,9403391,20264915,11043944
Argentina (urban),,2021,569627,7897457,21154876,12169104
Argentina (urban),,2022,542803,7920984,22221476,11247573
Argentina (urban),,2023,487367,9045460,21277951,11295394
Argentina (urban),,2024,407685,8486720,21445345,11965298
Armenia,ARM,1999,670487,2180817,289260,26722
Armenia,ARM,2001,775368,2122473,298706,15253
Armenia,ARM,2002,632480,2241396,303550,22374
Armenia,ARM,2003,472444,2414179,270559,25318
Armenia,ARM,2004,327503,2335263,443516,58618
Armenia,ARM,2005,192385,2337319,552251,64445
Armenia,ARM,2006,141145,2322415,638094,25446
Armenia,ARM,2007,114672,2133299,822632,36797
Armenia,ARM,2008,61912,2080836,919533,24819
Armenia,ARM,2009,95481,2272494,681932,16093
Armenia,ARM,2010,89654,2281929,648074,25143
Armenia,ARM,2011,94761,2177640,725352,30147
Armenia,ARM,2012,75566,2158213,755003,35318
Armenia,ARM,2013,89052,2046955,859008,26985
Armenia,ARM,2014,103602,2004575,853831,51792
Armenia,ARM,2015,85703,1870125,971054,77718
Armenia,ARM,2016,75286,1674509,1205258,37247
Armenia,ARM,2017,70388,1929199,917148,62665
Armenia,ARM,2018,86001,1916760,885478,80761
Armenia,ARM,2019,71924,2052761,795204,42611
Armenia,ARM,2020,44914,2156587,744557,15442
Armenia,ARM,2021,62744,2087172,783996,28388
Armenia,ARM,2022,56322,2072226,818686,21966
Armenia,ARM,2023,57152,2083473,800375,23300
Australia,AUS,1981,148263,224000,5298517,9252480
Australia,AUS,1985,158090,317012,5473881,9839329
Australia,AUS,1989,125145,378600,5631563,10679108
Australia,AUS,1995,178740,315973,7065822,10444347
Australia,AUS,2001,191218,241916,6021493,12820073
Australia,AUS,2003,196681,245591,5669424,13609040
Australia,AUS,2004,142028,156069,4734187,14900438
Australia,AUS,2008,142253,71628,3186386,17848933
Australia,AUS,2010,76928,219758,2936832,18798232
Australia,AUS,2014,117022,176006,2464530,20718128
Australia,AUS,2016,120650,181597,2776112,21112549
Australia,AUS,2018,124091,187815,2868974,21782378
Australia,AUS,2020,253724,130384,2555407,22709733
Austria,AUT,1994,18326,79165,933519,6905108
Austria,AUT,1995,0,79057,1013159,6856062
Austria,AUT,1996,0,58611,1112009,6788397
Austria,AUT,1997,19600,57750,1034537,6856154
Austria,AUT,1998,19100,74982,1000947,6881760
Austria,AUT,1999,18063,40045,870973,7063243
Austria,AUT,2000,19599,59069,900924,7031974
Austria,AUT,2003,30311,32205,769143,7289764
Austria,AUT,2004,6673,44468,649516,7471309
Austria,AUT,2005,12645,46090,682763,7486331
Austria,AUT,2006,12017,36918,682067,7537639
