country_code,name,year,popM,popF,pop,pop_80l,pop_80u,pop_95l,pop_95u,pop_low,pop_high
900,World,2024,4120769.361000003,4076211.488000003,8196980.849000006,8193342.404,8200765.122,8191304.756,8202563.887,8182430.618,8211530.616
900,World,2025,4154649.1150000016,4111596.1760000004,8266245.291000002,8258592.354,8274120.16,8254131.544,8278111.411,8237153.894,8295335.053
900,World,2026,4188376.0210000034,4146735.479,8335111.500000004,8323105.275,8347292.984,8316088.652,8353881.803,8291448.036,8378772.233
900,World,2027,4221622.970000001,4181454.2190000024,8403077.189000003,8386601.694,8419679.133,8376377.337,8428252.899,8344798.58,8461353.709
900,World,2028,4254408.642000002,4215751.942000001,8470160.584000003,8448975.92,8491593.317,8436186.374,8503124.344,8397214.481,8543109.3
900,World,2029,4286739.995000002,4249670.067,8536410.062000003,8510206.369,8562677.421,8494164.604,8576813.586,8439824.647,8632969.105
900,World,2030,4318634.518,4283205.242000001,8601839.760000002,8570374.317,8632960.887,8552136.437,8649480.068,8481533.689,8722122.907
900,World,2031,4350082.4459999995,4316316.461000001,8666398.907000002,8629587.153,8703621.314,8607931.503,8722508.47,8522260.705,8810537.426
900,World,2032,4381078.632999999,4348982.084000002,8730060.717,8687152.513,8772397.811,8662560.698,8793913.038,8561963.04,8898201.73
900,World,2033,4411643.785999998,4381193.659000002,8792837.445,8744831.483,8841506.497,8716150.644,8865550.539,8600642.612,8985139.303
900,World,2034,4441777.2739999965,4412955.097999999,8854732.371999996,8800449.92,8908474.739,8767742.602,8937040.868,8632177.807,9077465.967
900,World,2035,4471464.219000002,4444223.771000001,8915687.990000002,8853923.271,8975232.655,8819157.524,9006304.33,8662608.274,9169049.168
900,World,2036,4500698.850000001,4474986.389,8975685.239,8906914.726,9040796.926,8869455.025,9073903.432,8691903.476,9259867.274
900,World,2037,4529430.328,4505189.681000001,9034620.009,8959854.739,9105617.945,8920415.833,9143763.421,8719960.539,9349801.505
900,World,2038,4557690.232000002,4534835.611,9092525.843000002,9011714.254,9170080.815,8968292.951,9212157.39,8746815.625,9438868
900,World,2039,4585436.759,4563894.157999997,9149330.916999996,9063171.387,9233173.496,9014010.825,9277745.806,8772393.79,9526988.61
900,World,2040,4612688.116999999,4592361.370999998,9205049.487999998,9111373.712,9295262.62,9060081.138,9341940.129,8796697.09,9614188.906
900,World,2041,4639358.095000002,4620155.567000002,9259513.662000004,9158011.031,9355814.428,9103490.176,9406061.742,8819538.478,9700331.209
900,World,2042,4665436.948999998,4647270.13,9312707.078999998,9203464.923,9414191.936,9142703.205,9466484.533,8840872.354,9785450.764
900,World,2043,4690916.507000001,4673699.041999998,9364615.548999999,9246435.45,9472745.822,9183925.367,9528356.976,8860651.393,9869598.346
